,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-01-17 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,5.0,6,,46031,CANT. CONTACTOS ,11.0,13.0,0.0,,46047,CANT. CONTACTOS ,2.0,3.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,513.0,2641.7,3154.7,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-18 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-19 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,5.0,6,,46032,CANT. CONTACTOS ,4.0,3.0,0.0,,46048,CANT. CONTACTOS ,7.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,310.2,1504.0,1814.2,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-20 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,0.0,6.0,7,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,625.2,0.0,1220.2,1845.4,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-21 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,6.0,6,,46033,CANT. CONTACTOS ,5.0,1.0,0.0,,46049,CANT. CONTACTOS ,18.0,4.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,2493.2,2493.2,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,2.0,1.0,0.0
2026-01-22 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,2.0,6.0,10,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,,0.0
,MONTO ,1518.4,0.0,0.0,127.6,728.82,1889.8,4264.62,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,407.7,1126.0,0.0
2026-01-23 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,1.0,3,,46034,CANT. CONTACTOS ,9.0,5.0,0.0,,46050,CANT. CONTACTOS ,8.0,1.0,
,MONTO ,0.0,0.0,0.0,0.0,365.8,239.2,605,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-01-24 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,1.0,4,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,1129.56,255.2,1384.76,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,131.6,0.0,0.0
2026-01-25 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,3.0,5,,46035,CANT. CONTACTOS ,4.0,0.0,0.0,,46051,CANT. CONTACTOS ,11.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,312.8,708.52,1021.32,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,1.0,1.0,0.0
2026-01-26 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,3.0,4,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,,0.0
,MONTO ,0.0,0.0,0.0,0.0,629.2,884.8,1514,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,107.4,294.8,0.0
2026-01-27 00:00:00,CANTIDAD ,2.0,1.0,0.0,2.0,1.0,5.0,11,,46036,CANT. CONTACTOS ,13.0,5.0,0.0,,46052,CANT. CONTACTOS ,10.0,0.0,0.0
,MONTO ,407.7,1126.0,0.0,972.8,254.2,1320.7,4081.4,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-28 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,2.0,4.0,7,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,131.6,0.0,0.0,0.0,303.9,976.9,1412.4,,,MONTO TOTAL,421.8,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-29 00:00:00,CANTIDAD ,1.0,1.0,0.0,0.0,1.0,1.0,4,,46037,CANT. CONTACTOS ,10.0,1.0,0.0,,46053,CANT. CONTACTOS ,4.0,2.0,0.0
,MONTO ,107.4,294.8,0.0,0.0,103.6,299.0,804.8,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-01-30 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,1.0,5.0,7,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,151.6,314.0,614.3,1079.9,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-01-31 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,2.0,5,,46038,CANT. CONTACTOS ,9.0,0.0,0.0,,,,,,
,MONTO ,0.0,0.0,0.0,0.0,528.8,1782.0,2310.8,,,CANT. VENTAS ,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,TASA DE VENTA ,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,MONTO TOTAL,0.0,0.0,0.0,,,,,,
