74852833.0,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-02-17 00:00:00,CANTIDAD ,0.0,0.0,0.0,1.0,3.0,6.0,10,,46062,CANT. CONTACTOS ,7.0,4.0,0.0,,46076,CANT. CONTACTOS ,58.0,4.0,0.0
,MONTO ,0.0,0.0,0.0,340.6,412.5,1481.0,2234.1,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,2.0,0.0,0.0
2026-02-18 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,1.0,1.0,3,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,203.2,0.0,0.0,0.0,123.6,153.3,480.1,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,335.9,0.0,0.0
2026-02-19 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,8.0,10,,46063,CANT. CONTACTOS ,3.0,1.0,0.0,,46077,CANT. CONTACTOS ,42.0,3.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,352.2,1721.6,2073.8,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-02-20 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,2.0,5,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,537.04,307.7,844.74,,,MONTO TOTAL,925.0,0.0,0.0,,,MONTO TOTAL,154.3,0.0,0.0
2026-02-21 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,4.0,4,,46064,CANT. CONTACTOS ,11.0,4.0,0.0,,46078,CANT. CONTACTOS ,26.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,670.8,670.8,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-02-22 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,5.0,6,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,296.6,968.8,1265.4,,,MONTO TOTAL,309.0,0.0,0.0,,,MONTO TOTAL,154.3,0.0,0.0
2026-02-23 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,1.0,3.0,6,,46065,CANT. CONTACTOS ,21.0,4.0,0.0,,46079,CANT. CONTACTOS ,37.0,1.0,0.0
