,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-07-15 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,3.0,4,,46211,CANT. CONTACTOS ,18.0,1.0,0.0,,46226,CANT. CONTACTOS ,10.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,264.0,288.8,552.8,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-16 00:00:00,CANTIDAD ,1.0,1.0,0.0,1.0,0.0,4.0,7,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,355.2,429.8,0.0,185.4,0.0,1385.3,2355.7,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-17 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,2.0,5.0,7,,46212,CANT. CONTACTOS ,22.0,3.0,0.0,,46227,CANT. CONTACTOS ,12.0,7.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,506.2,1335.7,1841.9,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-18 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,10.0,10,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,2460.2,2460.2,,,MONTO TOTAL,164.4,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-19 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,3.0,4,,46213,CANT. CONTACTOS ,30.0,3.0,0.0,,46228,CANT. CONTACTOS ,18.0,3.0,2.0
,MONTO ,0.0,0.0,0.0,0.0,151.2,1671.4,1822.6,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-20 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,3.0,7.0,12,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,79.6,0.0,0.0,394.6,1003.8,3674.7,5152.7,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-21 00:00:00,CANTIDAD ,2.0,0.0,0.0,0.0,1.0,5.0,8,,46214,CANT. CONTACTOS ,20.0,4.0,1.0,,46229,CANT. CONTACTOS ,11.0,2.0,0.0
,MONTO ,917.0,0.0,0.0,0.0,212.4,965.5,2094.9,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-22 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,3.0,3,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,503.8,503.8,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-23 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,5.0,5,,46215,CANT. CONTACTOS ,17.0,4.0,0.0,,46230,CANT. CONTACTOS ,9.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1302.7,1302.7,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-24 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,8.0,8,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,2944.9,2944.9,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-25 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,6.0,7,,46216,CANT. CONTACTOS ,21.0,2.0,1.0,,46231,CANT. CONTACTOS ,8.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,152.4,2370.1,2522.5,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
