,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
,MONTO ,,,,,,,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,,,
2026-08-19 00:00:00,CANTIDAD ,,,,,,,0,,46244,CANT. CONTACTOS ,19.0,4.0,0.0,,46259,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,0,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,,,
2026-08-20 00:00:00,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,,,
2026-08-21 00:00:00,CANTIDAD ,,,,,,,0,,46245,CANT. CONTACTOS ,12.0,1.0,0.0,,46260,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,0,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,,,
2026-08-22 00:00:00,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,,,
2026-08-23 00:00:00,CANTIDAD ,,,,,,,0,,46246,CANT. CONTACTOS ,20.0,0.0,0.0,,46261,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,0,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,,,
2026-08-24 00:00:00,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,,,
2026-08-25 00:00:00,CANTIDAD ,,,,,,,0,,46247,CANT. CONTACTOS ,18.0,2.0,0.0,,46262,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,0,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,,,
2026-08-26 00:00:00,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,0,,,MONTO TOTAL,164.4,0.0,0.0,,,MONTO TOTAL,,,
2026-08-27 00:00:00,CANTIDAD ,,,,,,,0,,46248,CANT. CONTACTOS ,22.0,3.0,0.0,,46263,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,0,,,CANT. VENTAS ,2.0,0.0,0.0,,,CANT. VENTAS ,,,
2026-08-28 00:00:00,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,0,,,MONTO TOTAL,623.4,0.0,0.0,,,MONTO TOTAL,,,
2026-08-29 00:00:00,CANTIDAD ,,,,,,,0,,46249,CANT. CONTACTOS ,39.0,3.0,0.0,,46264,CANT. CONTACTOS ,,,
,MONTO ,,,,,,,0,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,,,
2026-08-30 00:00:00,CANTIDAD ,,,,,,,0,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,,
,MONTO ,,,,,,,0,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,,,
2026-08-31 00:00:00,CANTIDAD ,,,,,,,0,,,,,,,,46265,,,,
,MONTO ,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
