,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-03-17 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,3.0,8.0,11,,46090,CANT. CONTACTOS ,23.0,3.0,0.0,,46105,CANT. CONTACTOS ,8.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,1509.0,2288.9,3797.9,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-03-18 00:00:00,CANTIDAD ,0.0,1.0,0.0,1.0,1.0,6.0,9,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,424.0,0.0,127.6,321.6,1093.8,1967,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,352.8,0.0,0.0
2026-03-19 00:00:00,CANTIDAD ,3.0,1.0,0.0,1.0,0.0,6.0,11,,46091,CANT. CONTACTOS ,5.0,0.0,0.0,,46106,CANT. CONTACTOS ,6.0,0.0,0.0
,MONTO ,834.8,268.0,0.0,306.6,0.0,2854.6,4264,,,CANT. VENTAS ,3.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-20 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,5.0,5,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1392.3,1392.3,,,MONTO TOTAL,712.4,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-21 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,12.0,12,,46092,CANT. CONTACTOS ,16.0,4.0,0.0,,46107,CANT. CONTACTOS ,9.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,3425.3,3425.3,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-03-22 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,5.0,5,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1517.5,1517.5,,,MONTO TOTAL,146.4,0.0,0.0,,,MONTO TOTAL,157.4,0.0,0.0
2026-03-23 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,8.0,9,,46093,CANT. CONTACTOS ,12.0,1.0,0.0,,46108,CANT. CONTACTOS ,13.0,5.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,170.4,3013.8,3184.2,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-03-24 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,2.0,8.0,12,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,352.8,0.0,0.0,42.4,333.8,2469.8,3198.8,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,127.6,0.0,0.0
2026-03-25 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,6.0,6,,46094,CANT. CONTACTOS ,11.0,1.0,0.0,,46109,CANT. CONTACTOS ,12.0,2.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1102.6,1102.6,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
